B000944,Sherrod Brown
S000310,Samuel Shaw
S000508,John Smilie
S000537,George Smith
S000984,Silas Stow
S001052,George Sullivan
T000033,Peleg Tallman
T000347,Uri Tracy
T000416,Charles Turner
T000423,James Turner
V000023,Pierre Van Cortlandt
V000074,Joseph Varnum
W000385,Leonard White
W000444,William Widgery
W000495,David Williams
W000615,Thomas Wilson
W000637,Richard Winn
D000273,Jean Destréhan
M000056,Allan Magruder
P000450,Thomas Posey
B000161,William Barnett
B000260,Thomas Bayly
B000273,Reasin Beall
B000388,Egbert Benson
B000434,William Bibb
B000453,Abijah Bigelow
B000467,Thomas Bines
B000554,Jesse Bledsoe
B000612,Shadrack Bond
B000684,John Bowen
B000691,John Bowers
B000715,Alexander Boyd
B000942,Robert Brown
B001051,William Bulloch
B001176,Ezra Butler
C000131,Hugh Caperton
C000350,Langdon Cheves
C000667,John Conard
C000843,William Coxe
C000934,Edward Crouch
D000002,David Daggett
D000023,Samuel Dana
D000133,Roger Davis
D000134,Samuel Davis
D000151,John Dawson
D000252,Peter Denoyelles
D000293,Daniel Dewey
D000577,William Duval
E000168,William Ely
E000238,David Evans
F000036,Samuel Farrow
F000279,Peter Forney
F000346,Meshack Franklin
F000389,Eligius Fromentin
G000116,James Geddes
G000241,John Gloninger
G000345,Theodore Gourdin
H000254,Thomas Harris
H000313,Abraham Hasbrouck
H000372,Joseph Hawkins
H000472,Edward Hempstead
H000487,Samuel Henderson
H000778,Samuel Hopkins
H000780,Samuel Hopkins
H000867,Nathaniel Howell
H000887,Levi Hubbard
H000914,Jacob Hufty
H000962,Parry Humphreys
H001026,John Hyneman
J000025,Richard Jackson
K000116,William Kennedy
K000149,John Kershaw
L000011,Abner Lacock
L000213,John Lefferts
M000132,Jacob Markell
M000217,Jeremiah Mason
M000515,Alexander McKim
M000747,Morris Miller
P000168,Joseph Pearson
P000455,Jotham Post
P000463,Elisha Potter
R000089,John Rea
R000130,William Reed
R000231,William Richardson
S000150,James Schureman
S000356,Samuel Sherwood
S000366,Zebulon Shipherd
S000469,Richard Skinner
S000483,Amos Slaymaker
S000556,Isaac Smith
S000564,John Smith
S000608,Samuel Smith
S000941,Richard Stockton
S000955,David Stone
T000015,Charles Tait
T000036,Adamson Tannehill
T000205,Joel Thompson
W000287,William Wells
W000367,Francis White
W000402,James Whitehill
W000404,Robert Whitehill
W000644,Elisha Winter
W000687,Abiel Wood
B000192,William Barry
K000141,Joseph Kerr
L000387,Francis Locke
R000313,Jonathan Roberts
T000220,Thomas Thompson
W000053,George Walker
W000324,Jesse Wharton
A000056,Asa Adgate
A000096,John Alexander
A000324,Charles Atherton
A000345,Daniel Avery
B000026,George Baer
B000060,Ezra Baker
B000137,David Bard
B000427,Samuel Betts
B000482,James Birdsall
B000733,George Bradbury
B000785,James Breckinridge
B000833,Elijah Brigham
B000883,Micah Brooks
B000904,Benjamin Brown
B001132,Thomas Burnside
C000014,Daniel Cady
C000033,James Caldwell
C000083,George Campbell
C000176,James Carr
C000288,Epaphroditus Champion
C000320,John Chappell
C000366,Daniel Chipman
C000394,Bradbury Cilley
C000438,James Clark
C000456,Archibald Clarke
C000487,Matthew Clay
C000510,David Clendenin
C000531,John Clopton
C000692,Samuel Conner
C000762,Thomas Cooper
C000894,William Crawford
C000914,Henry Crocheron
D000024,Samuel Dana
D000075,John Davenport
D000306,Samuel Dickens
E000022,Rufus Easton
F000124,William Findley
F000155,Jonathan Fisk
F000204,Thomas Fletcher
G000096,William Gaston
G000150,Thomas Gholson
G000231,Hugh Glasgow
G000257,Thomas Gold
G000261,Charles Goldsborough
G000322,Christopher Gore
G000461,Isaac Griffin
G000498,Thomas Grosvenor
H000018,John Hahn
H000039,William Hale
H000045,Bolling Hall
H000127,Jabez Hammond
H000361,Aylett Hawes
H000476,Bennett Henderson
H000795,Outerbridge Horsey
H000915,Benjamin Huger
H000935,John Hulbert
H000967,John Hungerford
H000991,William Hunter
I000042,Jared Irwin
J000021,John Jackson
J000107,Luther Jewett
K000126,Moss Kent
K000136,John Kerr
K000169,James Kilbourne
K000197,Cyrus King
L000066,Chauncey Langdon
L000118,William Lattimore
L000126,Lyman Law
L000290,Joseph Lewis
L000460,William Love
L000466,John Lovett
L000524,Aaron Lyle
L000539,Asa Lyon
M000146,Charles Marsh
M000288,William Mayrant
M000496,Samuel McKee
M000549,John McLean
M000840,Hosea Moffitt
M000909,Nicholas Moore
M000919,Thomas Moore
M001084,William Murfree
N000164,John Noyes
O000100,Stephen Ormsby
P000324,Timothy Pickering
P000363,William Piper
P000446,Peter Porter
P000484,Samuel Powell
S000115,Abraham Schenck
S000257,John Sevier
S000295,Solomon Sharp
S000317,Daniel Sheffey
S000617,Thomas Smith
S000638,William Smith
S000794,Richard Stanford
S000821,Asahel Stearns
S000862,Benjamin Stephenson
S001048,Lewis Sturges
T000012,Samuel Taggart
T000029,Benjamin Tallmadge
T000047,Magnus Tate
T000054,Micah Taul
T000084,John Taylor
T000115,Thomas Telfair
T000169,Isaac Thomas
T000247,Enos Throop
T000264,Isaac Tichenor
V000120,Roger Vose
W000128,Artemas Ward
W000136,Jonathan Ward
W000141,Thomas Ward
W000329,Laban Wheaton
W000456,Jeduthun Wilcox
W000523,Jonathan Williams
W000565,Westel Willoughby
W000595,James Wilson
W000616,Thomas Wilson
W000725,John Woods
W000733,William Woodward
Y000001,Bartlett Yancey
Y000009,John Yates
A000317,Eli Ashmun
H000176,Alexander Hanson
H000186,Martin Hardin
H000225,Robert Harper
M000213,Armistead Mason
S000949,Montfort Stokes
M000858,James Monroe
A000122,Heman Allen
A000235,William Anderson
A000340,Archibald Austin
B000350,Joseph Bellinger
B000368,Benjamin Bennet
B000571,William Blount
B000650,John Boss
B000990,Joseph Bryan
B001137,James Burrill
C000407,Thomas Claiborne
C000408,William Claiborne
C000650,Edward Colston
C000664,Oliver Comstock
C000728,Zadock Cook
C000954,Daniel Cruger
C001019,John Cushman
D000057,Isaac Darlington
D000271,Joseph Desha
D000485,John Drake
E000118,Benjamin Ellicott
E000197,John Eppes
F000154,James Fisk
F000278,Daniel Forney
G000003,Joshua Gage
G000178,Sylvester Gilbert
G000306,Peterson Goodwyn
H000038,Salma Hale
H000314,Josiah Hasbrouck
H000525,John Herbert
H000647,Peter Hitchcock
H000705,Samuel Hogg
H000743,Uriel Holmes
H000784,Joseph Hopkinson
H000990,William Hunter
H000996,Ebenezer Huntington
I000038,William Irving
K000243,Dorrance Kirtland
L000147,Thomas Lawyer
L000177,Walter Leake
L000297,William Lewis
M000030,William Maclay
M000142,George Marr
M000215,James Mason
M000699,Henry Middleton
M000966,David Morril
M001075,George Mumford
N000043,Thomas Nelson
N000049,Wilson Nesbitt
O000043,David Ogden
O000045,Alexander Ogle
O000102,Benjamin Orr
O000127,Harrison Otis
O000151,James Owen
P000147,Levi Pawling
P000189,John Pegram
P000368,Timothy Pitkin
P000432,Nathaniel Pope
P000442,James Porter
R000204,Thomas Rice
R000326,Thomas Robertson
R000449,John Ross
R000503,Nathaniel Ruggles
S000082,John Savage
S000153,Philip Schuyler
S000203,Tredwell Scudder
S000264,Adam Seybert
S000357,Samuel Sherwood
S000700,Jacob Spangler
S000710,Thomas Speed
S000727,John Spencer
S000909,James Stewart
S000972,Clement Storer
S001017,Solomon Strong
S001036,Philip Stuart
T000031,James Tallmadge
T000135,Nathaniel Terry
T000333,George Townsend
T000398,Henry Tucker
W000309,Rensselaer Westerlo
W000412,John Whiteside
W000472,James Wilkin
W000516,John Williams
W000541,Thomas Williams
W000598,John Wilson
W000618,William Wilson
E000078,Ninian Edwards
M000636,Prentiss Mellen
P000045,William Palmer
A000030,Benjamin Adams
A000140,Nathaniel Allen
A000230,Richard Anderson
A000273,Stevenson Archer
B000056,Caleb Baker
B000566,Joseph Bloomfield
B000583,Andrew Boden
B000808,Joseph Brevard
B000921,James Brown
B000947,William Brown
B000983,Henry Brush
B001042,Joseph Buffum
B001160,William Burwell
B001190,Thomas Butler
C000222,Walter Case
C000399,Clifton Clagett
C000449,Robert Clark
C000671,John Condit
C000891,Joel Crawford
C000942,John Crowell
C000967,Thomas Culbreth
C001024,John Cuthbert
D000087,William Davidson
D000287,Jacob De Witt
D000477,Edward Dowse
E000007,Elias Earle
E000124,John Elliott
E000209,James Ervin
F000052,John Fay
F000242,Walter Folger
F000269,William Ford
F000416,David Fullerton
G000398,John Gray
G000494,Ezra Gross
G000539,James Guyon
H000006,Aaron Hackley
H000051,George Hall
H000076,Willard Hall
H000415,Nathaniel Hazard
H000542,Samuel Herrick
H000558,Jacob Hibshman
H000574,Joseph Hiester
H000806,Jacob Hostetter
J000142,James Johnson
K000093,Jonas Kendall
K000212,Rufus King
K000227,Charles Kinsey
K000230,Martin Kinsley
L000083,James Lanman
L000337,John Linn
L000405,William Logan
L000485,Walter Lowrie
L000527,Joseph Lyman
M000033,William Maclay
M000124,David Marchand
M000221,Jonathan Mason
M000383,John McCreary
M000396,Thomas McCullough
M000544,Alney McLean
M000632,Henry Meigs
M000657,Orsamus Merrill
M000913,Robert Moore
M001019,Marcus Morton
M001023,Jonathan Moseley
M001109,John Murray
P000060,James Parker
P000072,Severn Parker
P000084,John Parrott
P000183,Harmanus Peek
P000316,Robert Philson
P000354,Charles Pinckney
P000358,James Pindall
P000386,James Pleasants
Q000005,Tunstall Quarles
R000217,Mark Richards
R000235,Jonathan Richmond
R000263,Samuel Ringgold
S000012,Ebenezer Sage
S000026,Zabdiel Sampson
S000254,Thomas Settle
S000307,Henry Shaw
S000414,Eldred Simkins
S000497,Jesse Slocumb
S000516,Ballard Smith
S000518,Bernard Smith
S000559,James Smith
S000685,Henry Southard
S000882,James Stevens
S001002,Randall Street
S001022,William Strong
S001023,George Strother
T000042,Christian Tarr
T000102,Waller Taylor
T000132,William Terrell
T000303,Caleb Tompkins
T000377,William Trimble
W000048,David Walker
W000052,Freeman Walker
W000061,John Walker
W000078,James Wallace
W000293,Peter Wendover
H000735,David Holmes
M000774,Elijah Mills
T000017,Isham Talbot
B000087,Henry Baldwin
B000124,Levi Barber
B000127,James Barbour
B000195,Gideon Barstow
B000235,James Bates
B000258,Thomas Bayly
B000455,Lewis Bigelow
B000512,William Blackledge
B000577,Elijah Boardman
B000641,Charles Borland
B000786,James Breckinridge
B000986,Henry Bryan
B001054,Wingfield Bullock
B001140,Daniel Burrows
B001181,Josiah Butler
C000099,Samuel Campbell
C000123,Newton Cannon
C000281,David Chambers
C000604,Cadwallader Colden
C000679,Alfred Conkling
C000792,Jeremiah Cosden
C000953,Josiah Crudup
D000026,Joseph Dane
D000059,William Darlington
D000295,James De Wolf
D000238,George Denison
D000531,James Duncan
E000230,William Eustis
F000122,William Findlay
F000281,Thomas Forrest
G000114,John Gebhard
G000496,Samuel Gross
H000248,Mark Harris
H000366,James Hawkes
H000533,Joseph Hernández
H000602,Mark Hill
H000890,Thomas Hubbard
J000010,Edward Jackson
J000218,Francis Jones
J000228,James Jones
K000160,Elias Keyes
K000235,Joseph Kirkland
L000483,William Lowndes
M000321,Richard McCarty
M000602,James McSherry
M000786,William Milnor
M000872,Thomas Montgomery
M000916,Samuel Moore
M000920,Thomas Moore
M001115,Thomas Murray
N000035,Hugh Nelson
N000037,John Nelson
N000058,Anthony New
O000142,James Overstreet
P000131,Walter Patterson
P000310,John Phillips
P000342,Jeremiah Pierson
P000362,William Pinkney
R000125,Philip Reed
R000151,Robert Reid
R000181,John Rhea
R000322,George Robertson
R000501,Charles Ruggles
R000519,John Russ
R000531,Jonathan Russell
S000400,Solomon Sibley
S000575,John Smith
S000722,Elijah Spencer
S000871,Micah Sterling
T000438,Selah Tuthill
U000024,Nathaniel Upham
V000055,Solomon Van Rensselaer
V000059,Thomas Van Swearingen
W000050,Felix Walker
W000118,Reuben Walworth
W000389,Phineas White
W000421,Ezekiel Whitman
W000554,William Williamson
W000729,Samuel Woodson
W000745,Ludwig Worman
W000768,Robert Wright
B000914,Ethan Brown
K000079,William Kelly
L000378,James Lloyd
R000377,Caesar Rodney
T000086,John Taylor
A000003,Joel Abbott
B000103,William Ball
B000783,Samuel Breck
B000926,John Brown
B001152,Hutchins Burton
C000015,John Cady
C000049,Jacob Call
C000050,Richard Call
C000291,John Chandler
C000447,Lot Clark
C000635,Ela Collins
C001020,Joshua Cushman
D000568,Job Durfee
D000584,Justin Dwinell
E000025,Lewis Eaton
E000040,Samuel Eddy
E000070,Henry Edwards
E000137,William Ellis
F000249,Charles Foote
F000291,Walter Forward
F000391,Joel Frost
F000413,Timothy Fuller
G000099,Alfred Gatlin
G000109,James Gazlay
H000309,Matthew Harvey
H000410,William Hayward
H000529,John Herkimer
H000700,James Hogeboom
H000761,Charles Hooks
J000085,Lemuel Jenkins
J000154,John Johnson
L000138,Samuel Lawrence
L000196,John Lee
L000216,Jabez Leftwich
L000346,Elisha Litchfield
L000362,Arthur Livermore
L000430,Stephen Longfellow
M000245,James Matlack
M000247,Aaron Matson
M000299,Duncan McArthur
M000475,Joseph McIlvaine
N000018,Raphael Neale
O000068,Henry Olin
O000139,George Outlaw
P000122,John Patterson
P000128,Thomas Patterson
P000394,William Plumer
P000540,William Prince
R000173,James Reynolds
R000207,Charles Rich
R000210,Gabriel Richard
R000216,John Richards
R000360,William Rochester
R000403,Thomas Rogers
R000456,Thomas Ross
S000040,James Sandford
S000297,Peter Sharpe
S000397,Jonas Sibley
S000515,Arthur Smith
S000694,Richard Spaight
S000864,James Stephenson
S000868,Ansel Sterling
S000943,Ebenezer Stoddard
T000171,Jesse Thomas
T000211,Philip Thompson
T000290,John Tod
T000343,Albert Tracy
T000397,George Tucker
T000453,Jacob Tyson
U000003,Daniel Udree
V000037,Nicholas Van Dyke
V000068,William Van Wyck
V000018,Robert Vance
W000148,Nicholas Ware
W000150,Henry Warfield
W000217,Isaac Wayne
W000363,David White
W000422,Lemuel Whitman
W000505,Isaac Williams
W000510,Jared Williams
W000540,Thomas Williams
W000586,Isaac Wilson
W000727,William Woods
B000664,Charles Bouligny
C000553,Thomas Cobb
A000042,Parmenio Adams
A000089,Adam Alexander
A000142,Robert Allen
A000157,James Allison
A000313,Henry Ashley
B000023,Luther Badger
B000212,David Barton
B000255,Francis Baylies
B000748,William Bradley
C000095,John Campbell
C000212,George Cary
C000234,George Cassedy
C000284,Henry Chambers
C000571,John Cocke
C000716,Daniel Cook
C000956,George Crump
D000342,William Dietz
E000021,Nehemiah Eastman
E000080,Samuel Edwards
E000083,Weldon Edwards
E000223,Benjamin Estil
F000032,Patrick Farrelly
F000120,John Findlay
F000292,Nicoll Fosdick
G000005,John Gaillard
G000077,Robert Garnett
G000083,Daniel Garrison
G000227,Joseph Gist
G000346,Andrew Govan
H000250,Robert Harris
H000312,Abraham Hasbrouck
H000387,Moses Hayden
H000509,John Henry
H000517,Robert Henry
H000538,Ebenezer Herrick
H000634,Richard Hines
H000659,Aaron Hobart
H000932,Daniel Hugunin
H000950,Charles Humphrey
J000095,David Jennings
J000129,Francis Johnson
J000143,James Johnson
K000063,Charles Kellogg
K000163,David Kidder
K000254,Thomas Kittera
K000324,Jacob Krebs
L000112,Samuel Lathrop
L000314,Enoch Lincoln
L000376,Edward Lloyd
M000034,Nathaniel Macon
M000135,Philip Markley
M000137,William Marks
M000198,Robert Martin
M000562,William McManus
M000586,Archibald McNeill
M000625,Ezra Meech
M000651,James Meriwether
M000737,John Miller
M000816,James Mitchell
P000250,George Peter
P000392,George Plumer
P000404,Joel Poinsett
P000448,Timothy Porter
P000478,Alfred Powell
R000054,Christopher Rankin
R000447,Henry Ross
R000471,John Rowan
S000046,Joshua Sands
S000176,John Scott
S000289,Thomas Shannon
S000626,William Smith
T000097,Robert Taylor
T000125,Egbert Ten Eyck
T000227,Alexander Thomson
T000372,David Trimble
W000356,Bartow White
W000423,Elias Whitmore
W000482,Calvin Willey
W000584,Henry Wilson
W000597,John Wilson
W000751,Thomas Worthington
W000774,John Wurts
B000228,Ephraim Bateman
H000226,William Harper
P000322,Israel Pickens
R000378,Daniel Rodney
S000052,Nathan Sanford
S000628,William Smith
A000053,William Addams
A000146,Samuel Allen
A000231,Samuel Anderson
B000090,John Baldwin
B000143,David Barker
B000150,Stephen Barlow
B000154,Isaac Barnard
B000162,John Barney
B000205,Ichabod Bartlett
B000224,Burwell Bassett
B000231,Edward Bates
B000306,Philemon Beecher
B000324,George Belden
B000534,Thomas Blake
B000803,William Brent
B000945,Titus Brown
B000988,John Bryan
B001015,Daniel Buck
B001033,Richard Buckner
B001065,Rudolph Bunner
B001109,William Burleigh
C000197,John Carter
C000333,Samuel Chase
C000712,Henry Conway
C000976,John Culpepper
D000076,John Davenport
E000024,John Eaton
E000136,Powhatan Ellis
E000237,David Evans
F000220,John Floyd
F000221,John Floyd
F000289,Tomlinson Fort
G000013,Levin Gale
G000078,Daniel Garnsey
G000085,Nathaniel Garrow
H000022,William Haile
H000082,John Hallock
H000110,James Hamilton
H000425,Joseph Healy
H000662,Selah Hobbie
H000711,George Holcombe
J000152,Jeromus Johnson
K000043,Richard Keese
K000329,George Kremer
L000214,Isaac Leffler
L000354,Peter Little
L000388,John Locke
L000421,John Long
M000120,John Marable
M000131,Henry Markell
M000467,Robert McHatton
M000495,John McKee
M000535,Louis McLane
M000552,William McLean
M000665,Orange Merwin
M000791,Charles Miner
M000815,James Mitchell
M000817,John Mitchell
M000921,Thomas Moore
M001061,Francis Muhlenberg
N000118,James Noble
O000013,Jeremiah O’Brien
O000003,Thomas Oakley
O000105,Robert Orr
O000150,George Owen
P000079,Albion Parris
P000294,Elisha Phelps
P000375,David Plant
R000245,Henry Ridgely
R000500,Benjamin Ruggles
S000089,Lemuel Sawyer
S000268,Horatio Seymour
S000449,Thomas Sinnickson
S000494,John Sloane
S000609,Samuel Smith
S000892,James Stevenson
S000986,John Stower
T000003,Thomas Taber
T000051,Edward Tattnall
T000202,Hedge Thompson
T000396,Ebenezer Tucker
T000418,Daniel Turner
V000044,Espy Van Horne
V000056,Stephen Van Rensselaer
W000042,George Wales
W000250,John Weems
W000345,Thomas Whipple
W000588,James Wilson
W000619,William Wilson
W000697,John Wood
W000703,Silas Wood
W000712,David Woodcock
W000724,John Woods
W000764,John Wright
Y000057,William Young
B001117,Jacob Burnet
I000028,James Iredell
P000539,Oliver Prince
J000005,Andrew Jackson
A000167,Willis Alston
A000287,Benedict Arnold
B000041,John Bailey
B000131,Philip Barbour
B000210,Mordecai Bartley
B000257,Robert Baylor
B000308,Thomas Beekman
B000345,Samuel Bell
B000433,George Bibb
B000441,John Biddle
B000645,Peter Borst
B000912,Elias Brown
B001198,Samuel Butman
C000436,James Clark
C000620,Nicholas Coleman
C000828,Henry Cowles
C000856,Hector Craig
C000915,Jacob Crocheron
C000946,Benjamin Crowninshield
D000284,Charles De Witt
D000272,Robert Desha
D000308,Mahlon Dickerson
D000322,John Dickinson
D000437,Clement Dorsey
D000511,Charles Dudley
D000512,Edward Dudley
D000579,Henry Dwight
E000002,Samuel Eager
E000011,Jonas Earll
F000117,Isaac Finch
F000146,George Fisher
F000290,Chauncey Forward
F000373,Theodore Frelinghuysen
F000397,Joseph Fry
G000283,John Goodenow
G000412,Innis Green
G000529,Henry Gurley
H000088,Jehiel Halsey
H000308,Jonathan Harvey
H000371,Joseph Hawkins
H000398,Robert Hayne
H000470,Joseph Hemphill
H000632,Thomas Hinds
H000737,Gabriel Holmes
H000739,John Holmes
I000022,Samuel Ingham
I000043,Thomas Irwin
J000097,Jonathan Jennings
J000112,Kensey Johns
K000186,John Kincaid
K000209,Perkins King
L000166,Pryor Lea
L000234,George Leiper
L000366,Edward Livingston
M000047,John Magee
M000141,Alem Marr
M000202,William Martin
M000271,Thomas Maxwell
M000386,William McCreery
M000550,John McLean
M000722,Daniel Miller
M000853,Robert Monell
N000146,Ebenezer Norton
O000147,Walter Overton
P000275,Spencer Pettis
P000341,Isaac Pierson
P000489,Gershom Powers
R000129,Thomas Reed
R000226,Joseph Richardson
R000266,James Ripley
R000439,Robert Rose
S000050,Jonah Sanford
S000175,John Scott
S000361,James Shields
S000410,Thomas Sill
S000411,Nathaniel Silsbee
S000646,Alexander Smyth
S000721,Ambrose Spencer
S000729,Richard Spencer
S000744,Peleg Sprague
S000751,Michael Sprigg
S000867,John Sterigere
S000976,Henry Storrs
S001010,James Strong
S001088,Samuel Swan
T000108,Littleton Tazewell
T000138,John Test
T000365,James Trezvant
T000382,George Troup
T000402,Starling Tucker
V000073,John Varnum
W000576,Ephraim Wilson
W000632,Joseph Wingate
W000673,George Wolf
Y000002,Joel Yancey
A000043,Robert Adams
